Player,Birth Date,Age
Matty Beniers,2002-11-05,20.272716003330423
Oliver Bjorkstrand,1995-04-10,27.845766784660636
Will Borgen,1996-12-19,26.15100234733475
Andre Burakovsky,1995-02-09,28.010041205079943
Ryan Donato,1996-04-09,26.84643072710983
Chris Driedger,1994-05-18,28.741062375945877
Vince Dunn,1996-10-29,26.29063560469116
Jordan Eberle,1990-05-15,32.74935823417705
Cale Fleury,1998-11-19,24.234467442442792
Morgan Geekie,1998-07-20,24.56849209729539
Yanni Gourde,1991-12-15,31.164110077130704
Philipp Grubauer,1991-11-25,31.218868217270476
Martin Jones,1990-01-10,33.091596610050615
Adam Larsson,1992-11-12,30.252387043803534
Jared McCann,1996-05-31,26.704059562746426
Jaycob Megna,1992-12-10,30.175725647607855
Jamie Oleksiak,1992-12-21,30.14560867053098
Jaden Schwartz,1992-06-25,30.635694024781923
Carson Soucy,1994-07-27,28.549408885456682
Daniel Sprong,1997-03-17,25.91006653071976
Brandon Tanev,1991-12-31,31.12030356501889
Eeli Tolvanen,1999-04-22,23.81282976336656
Alexander Wennberg,1994-09-22,28.393348186058336
Mikey Anderson,1999-05-25,23.72248679763537
Jaret Anderson-Dolan,1999-09-12,23.42131702686663
Viktor Arvidsson,1993-04-08,29.84992267927565
Quinton Byfield,2002-08-19,20.486280715374953
Pheonix Copley,1992-01-18,31.071029204392524
Phillip Danault,1993-02-24,29.967652680576155
Drew Doughty,1989-12-08,33.18195550678066
Sean Durzi,1998-10-21,24.313874711144887
Alexander Edler,1986-04-21,36.815158105054415
Kevin Fiala,1996-07-22,26.56169636388245
Alex Iafallo,1993-12-21,29.1462805784796
Arthur Kaliyev,2001-06-26,21.633463751303136
Adrian Kempe,1996-09-13,26.41658729251206
Anze Kopitar (C),1987-08-24,35.473583671630045
Rasmus Kupari,2000-03-15,22.914804230573758
Brendan Lemieux,1996-03-15,26.914886367783968
Blake Lizotte,1997-12-13,25.1681016973253
Trevor Moore,1995-03-31,27.87315382022995
Jacob Moverare,1998-08-31,24.453507968501302
Jonathan Quick,1986-01-21,37.06156973568338
Matt Roy,1995-03-01,27.955291030439604
Gabriel Vilardi,1999-08-16,23.495240516055322
Sean Walker,1994-11-13,28.25098498719436
Tyson Barrie,1991-07-26,31.552898344927517
Matthew Berlin,1998-01-20,25.064058738364754
Evan Bouchard,1999-10-20,23.317274067906084
Philip Broberg,2001-06-25,21.636199165615142
Jack Campbell,1992-01-09,31.095667874760434
Cody Ceci,1993-12-21,29.14627808578462
Vincent Desharnais,1996-05-29,26.709540849564846
Leon Draisaitl,1995-10-27,27.298190856067375
Warren Foegele,1996-04-01,26.86833945597018
Dylan Holloway,2001-09-23,21.389787534986176
Zach Hyman,1992-06-09,30.67950600969818
Mattias Janmark,1992-12-08,30.181206934426275
Evander Kane,1991-08-02,31.533732995878598
Klim Kostin,1999-05-05,23.777242445080155
Brett Kulak,1994-01-06,29.1024715736728
Connor McDavid (C),1997-01-13,26.08256014496448
Ryan McLeod,1999-09-21,23.39667337110875
Ryan Nugent-Hopkins,1993-04-12,29.83896855855271
Darnell Nurse,1995-02-04,28.023736212919328
Jesse Puljujarvi,1998-05-07,24.77110268861698
Derek Ryan,1986-12-29,36.12520304659832
Devin Shore,1994-07-19,28.57131761431703
Stuart Skinner,1998-11-01,24.28375524137303
Nils Aman,2000-02-07,23.01610452909882
Ethan Bear,1997-06-26,25.63354362777983
Anthony Beauvillier,1997-06-08,25.682825953905624
Brock Boeser,1997-02-25,25.96483037562544
Kyle Burroughs,1995-07-12,27.591147137776613
Collin Delia,1994-06-20,28.650717149481167
Travis Dermott,1996-12-22,26.142794331079692
Phillip Di Giuseppe,1993-10-09,29.346145529256248
Sheldon Dries,1994-04-23,28.8095157558865
Oliver Ekman-Larsson,1991-07-17,31.57753973995188
Conor Garland,1996-03-11,26.925835735078405
Quinn Hughes,1999-10-14,23.333701741909483
Dakota Joshua,1996-05-15,26.747871779624152
Andrei Kuzmenko,1996-02-04,27.024400387329994
Curtis Lazar,1995-02-02,28.029212258894773
Spencer Martin,1995-06-08,27.68423597601422
J.T. Miller,1993-03-14,29.918368093716847
Tyler Myers,1990-02-01,33.031368360662775
Elias Pettersson,1998-11-12,24.253638496257622
Vasily Podkolzin,2001-06-24,21.6389373045836
Luke Schenn,1989-11-02,33.28051789829873
Riley Stillman,1998-03-09,24.932639433990772
Jack Studnicka,1999-02-18,23.98532360957275
